# in,ci
0.22,1.46452E-14
0.23,1.46402E-14
0.24,1.46347E-14
0.25,1.46288E-14
0.26,1.46224E-14
0.27,1.46155E-14
0.28,1.4608E-14
0.29,1.46E-14
0.3,1.45913E-14
0.31,1.45819E-14
0.32,1.45718E-14
0.33,1.45608E-14
0.34,1.45491E-14
0.35,1.4536E-14
0.36,1.45212E-14
0.37,1.45054E-14
0.38,1.44883E-14
0.39,1.44701E-14
0.4,1.44504E-14
0.41,1.44294E-14
0.42,1.44068E-14
0.43,1.43825E-14
0.44,1.43565E-14
0.45,1.43285E-14
0.46,1.42986E-14
0.47,1.42665E-14
0.48,1.42322E-14
0.49,1.41955E-14
0.5,1.41564E-14
0.51,1.41147E-14
0.52,1.40704E-14
0.53,1.40234E-14
0.54,1.39737E-14
0.55,1.39213E-14
0.56,1.38661E-14
0.57,1.38083E-14
0.58,1.37479E-14
0.59,1.36852E-14
0.6,1.36202E-14
0.61,1.35532E-14
0.62,1.34845E-14
0.63,1.34143E-14
0.64,1.33431E-14
0.65,1.32713E-14
0.66,1.31992E-14
0.67,1.31273E-14
0.68,1.3056E-14
0.69,1.29859E-14
0.7,1.29173E-14
0.71,1.28506E-14
0.72,1.27862E-14
0.73,1.27246E-14
0.74,1.26659E-14
0.75,1.26105E-14
0.76,1.25586E-14
0.77,1.25103E-14
0.78,1.24657E-14
0.79,1.2425E-14
0.8,1.23882E-14
0.81,1.23551E-14
0.82,1.23259E-14
0.83,1.23003E-14
0.84,1.22784E-14
0.85,1.226E-14
0.86,1.22449E-14
0.87,1.22331E-14
0.88,1.22244E-14
0.89,1.22186E-14
0.9,1.22156E-14
0.91,1.22153E-14
0.92,1.22175E-14
0.93,1.22221E-14
0.94,1.2229E-14
0.95,1.2238E-14
0.96,1.22491E-14
0.97,1.22622E-14
0.98,1.22771E-14
0.99,1.22937E-14
1,1.23121E-14
1.01,1.23321E-14
1.02,1.23536E-14
1.03,1.23765E-14
1.04,1.24009E-14
1.05,1.24267E-14
1.06,1.24537E-14
1.07,1.2482E-14
1.08,1.25114E-14
1.09,1.25419E-14
1.1,1.25736E-14
1.11,1.26062E-14
1.12,1.26399E-14
1.13,1.26745E-14
1.14,1.271E-14
1.15,1.27463E-14
1.16,1.27835E-14
1.17,1.28215E-14
1.18,1.28602E-14
1.19,1.28997E-14
