# in,ci
-1.2,1.1618E-14
-1.19,1.1602E-14
-1.18,1.15864E-14
-1.17,1.1571E-14
-1.16,1.1556E-14
-1.15,1.15414E-14
-1.14,1.15274E-14
-1.13,1.15143E-14
-1.12,1.15024E-14
-1.11,1.14923E-14
-1.1,1.14851E-14
-1.09,1.14816E-14
-1.08,1.14828E-14
-1.07,1.14889E-14
-1.06,1.14982E-14
-1.05,1.1508E-14
-1.04,1.15152E-14
-1.03,1.15182E-14
-1.02,1.1517E-14
-1.01,1.15123E-14
-1,1.15051E-14
-0.99,1.14964E-14
-0.98,1.14867E-14
-0.97,1.14765E-14
-0.96,1.14661E-14
-0.95,1.14556E-14
-0.94,1.14452E-14
-0.93,1.14349E-14
-0.92,1.14249E-14
-0.91,1.1415E-14
-0.9,1.14054E-14
-0.89,1.13962E-14
-0.88,1.13872E-14
-0.87,1.13786E-14
-0.86,1.13704E-14
-0.85,1.13627E-14
-0.84,1.13554E-14
-0.83,1.13487E-14
-0.82,1.13426E-14
-0.81,1.13371E-14
-0.8,1.13324E-14
-0.79,1.13285E-14
-0.78,1.13256E-14
-0.77,1.13237E-14
-0.76,1.1323E-14
-0.75,1.13236E-14
-0.74,1.13258E-14
-0.73,1.13297E-14
-0.72,1.13355E-14
-0.71,1.13436E-14
-0.7,1.1354E-14
-0.69,1.13672E-14
-0.68,1.13834E-14
-0.67,1.1403E-14
-0.66,1.14263E-14
-0.65,1.14538E-14
-0.64,1.14856E-14
-0.63,1.15223E-14
-0.62,1.15641E-14
-0.61,1.16113E-14
-0.6,1.16642E-14
-0.59,1.17229E-14
-0.58,1.17875E-14
-0.57,1.18579E-14
-0.56,1.19341E-14
-0.55,1.20158E-14
-0.54,1.21028E-14
-0.53,1.21944E-14
-0.52,1.22904E-14
-0.51,1.239E-14
-0.5,1.24927E-14
-0.49,1.25976E-14
-0.48,1.27041E-14
-0.47,1.28113E-14
-0.46,1.29184E-14
-0.45,1.30246E-14
-0.44,1.31291E-14
-0.43,1.32313E-14
-0.42,1.33303E-14
-0.41,1.34259E-14
-0.4,1.35174E-14
-0.39,1.36045E-14
-0.38,1.36871E-14
-0.37,1.37649E-14
-0.36,1.3838E-14
-0.35,1.39063E-14
-0.34,1.39699E-14
-0.33,1.40291E-14
-0.32,1.40838E-14
-0.31,1.41344E-14
-0.3,1.41811E-14
-0.29,1.42241E-14
-0.28,1.42637E-14
-0.27,1.43001E-14
-0.26,1.43336E-14
-0.25,1.43643E-14
-0.24,1.43925E-14
-0.23,1.44184E-14
-0.22,1.44422E-14
-0.21,1.4464E-14
-0.2,1.44841E-14
-0.19,1.45025E-14
-0.18,1.45195E-14
-0.17,1.45351E-14
-0.16,1.45494E-14
-0.15,1.45626E-14
-0.14,1.45748E-14
-0.13,1.4586E-14
-0.12,1.45963E-14
-0.11,1.46057E-14
-0.1,1.46144E-14
-0.09,1.46224E-14
-0.08,1.46297E-14
-0.07,1.46364E-14
-0.06,1.46424E-14
-0.05,1.4648E-14
-0.04,1.4653E-14
-0.03,1.46574E-14
-0.02,1.46614E-14
-0.01,1.4665E-14
9.74915E-16,1.46681E-14
0.01,1.46707E-14
0.02,1.4673E-14
0.03,1.46749E-14
0.04,1.46764E-14
0.05,1.46775E-14
0.06,1.46782E-14
0.07,1.46786E-14
0.08,1.46787E-14
0.09,1.46784E-14
0.1,1.46778E-14
0.11,1.46769E-14
0.12,1.46757E-14
0.13,1.46741E-14
0.14,1.46722E-14
0.15,1.467E-14
0.16,1.46675E-14
0.17,1.46647E-14
0.18,1.46615E-14
0.19,1.4658E-14
0.2,1.46541E-14
0.21,1.46499E-14
