 time            vdd             time            vreg            time            gp             
 3.54530260e-09  5.00000000e+00  3.54530260e-09  2.35551000e+00  3.54530260e-09  3.92067134e+00 
 3.64530260e-09  5.00000000e+00  3.64530260e-09  2.28786622e+00  3.64530260e-09  3.92742009e+00 
 3.74530260e-09  5.00000000e+00  3.74530260e-09  2.23450695e+00  3.74530260e-09  3.91893642e+00 
 3.84530260e-09  5.00000000e+00  3.84530260e-09  2.19615405e+00  3.84530260e-09  3.89807351e+00 
 3.94530260e-09  5.00000000e+00  3.94530260e-09  2.17348525e+00  3.94530260e-09  3.86738540e+00 
 4.04530260e-09  5.00000000e+00  4.04530260e-09  2.16678295e+00  4.04530260e-09  3.82907294e+00 
 4.14530260e-09  5.00000000e+00  4.14530260e-09  2.17577502e+00  4.14530260e-09  3.78511222e+00 
 4.24530260e-09  5.00000000e+00  4.24530260e-09  2.20020238e+00  4.24530260e-09  3.73737115e+00 
 4.34530260e-09  5.00000000e+00  4.34530260e-09  2.23851550e+00  4.34530260e-09  3.68771838e+00 
 4.44530260e-09  5.00000000e+00  4.44530260e-09  2.28801073e+00  4.44530260e-09  3.63824854e+00 
 4.54530260e-09  5.00000000e+00  4.54530260e-09  2.34670044e+00  4.54530260e-09  3.59150491e+00 
 4.64530260e-09  5.00000000e+00  4.64530260e-09  2.41068239e+00  4.64530260e-09  3.55036044e+00 
 4.74530260e-09  5.00000000e+00  4.74530260e-09  2.47473600e+00  4.74530260e-09  3.51795044e+00 
 4.84530260e-09  5.00000000e+00  4.84530260e-09  2.53344424e+00  4.84530260e-09  3.49718001e+00 
 4.94530260e-09  5.00000000e+00  4.94530260e-09  2.58202889e+00  4.94530260e-09  3.49002191e+00 
 5.04530260e-09  5.00000000e+00  5.04530260e-09  2.61679692e+00  5.04530260e-09  3.49693592e+00 
 5.14530260e-09  5.00000000e+00  5.14530260e-09  2.63559688e+00  5.14530260e-09  3.51667411e+00 
 5.24530260e-09  5.00000000e+00  5.24530260e-09  2.63812634e+00  5.24530260e-09  3.54649144e+00 
 5.34530260e-09  5.00000000e+00  5.34530260e-09  2.62582943e+00  5.34530260e-09  3.58266849e+00 
 5.44530260e-09  5.00000000e+00  5.44530260e-09  2.60146775e+00  5.44530260e-09  3.62119993e+00 
 5.54530260e-09  5.00000000e+00  5.54530260e-09  2.56856628e+00  5.54530260e-09  3.65840783e+00 
 5.64530260e-09  5.00000000e+00  5.64530260e-09  2.53081700e+00  5.64530260e-09  3.69135278e+00 
 5.74530260e-09  5.00000000e+00  5.74530260e-09  2.49162162e+00  5.74530260e-09  3.71801085e+00 
 5.84530260e-09  5.00000000e+00  5.84530260e-09  2.45399224e+00  5.84530260e-09  3.73727022e+00 
 5.94530260e-09  5.00000000e+00  5.94530260e-09  2.42005184e+00  5.94530260e-09  3.74877285e+00 
 6.04530260e-09  5.00000000e+00  6.04530260e-09  2.39139667e+00  6.04530260e-09  3.75276379e+00 
 6.14530260e-09  5.00000000e+00  6.14530260e-09  2.36936122e+00  6.14530260e-09  3.74991312e+00 
 6.24530260e-09  5.00000000e+00  6.24530260e-09  2.35482970e+00  6.24530260e-09  3.74114887e+00 
 6.34530260e-09  5.00000000e+00  6.34530260e-09  2.34802517e+00  6.34530260e-09  3.72755229e+00 
 6.44530260e-09  5.00000000e+00  6.44530260e-09  2.34859760e+00  6.44530260e-09  3.71031007e+00 
 6.54530260e-09  5.00000000e+00  6.54530260e-09  2.35612613e+00  6.54530260e-09  3.69069147e+00 
 6.64530260e-09  5.00000000e+00  6.64530260e-09  2.36979778e+00  6.64530260e-09  3.66998977e+00 
 6.74530260e-09  5.00000000e+00  6.74530260e-09  2.38842604e+00  6.74530260e-09  3.64951362e+00 
 6.84530260e-09  5.00000000e+00  6.84530260e-09  2.41052187e+00  6.84530260e-09  3.63054550e+00 
 6.94530260e-09  5.00000000e+00  6.94530260e-09  2.43436942e+00  6.94530260e-09  3.61427935e+00 
 7.04530260e-09  5.00000000e+00  7.04530260e-09  2.45814696e+00  7.04530260e-09  3.60173863e+00 
 7.14530260e-09  5.00000000e+00  7.14530260e-09  2.48008702e+00  7.14530260e-09  3.59367894e+00 
 7.24530260e-09  5.00000000e+00  7.24530260e-09  2.49863104e+00  7.24530260e-09  3.59049732e+00 
 7.34530260e-09  5.00000000e+00  7.34530260e-09  2.51257532e+00  7.34530260e-09  3.59217443e+00 
 7.44530260e-09  5.00000000e+00  7.44530260e-09  2.52117462e+00  7.44530260e-09  3.59827046e+00 
 7.54530260e-09  5.00000000e+00  7.54530260e-09  2.52418918e+00  7.54530260e-09  3.60798037e+00 
 7.64530260e-09  5.00000000e+00  7.64530260e-09  2.52187002e+00  7.64530260e-09  3.62023798e+00 
 7.74530260e-09  5.00000000e+00  7.74530260e-09  2.51488688e+00  7.74530260e-09  3.63384756e+00 
 7.84530260e-09  5.00000000e+00  7.84530260e-09  2.50421715e+00  7.84530260e-09  3.64761799e+00 
 7.94530260e-09  5.00000000e+00  7.94530260e-09  2.49101822e+00  7.94530260e-09  3.66047733e+00 
 8.04530260e-09  5.00000000e+00  8.04530260e-09  2.47650288e+00  8.04530260e-09  3.67155405e+00 
 8.14530260e-09  5.00000000e+00  8.14530260e-09  2.46183251e+00  8.14530260e-09  3.68022117e+00 
 8.24530260e-09  5.00000000e+00  8.24530260e-09  2.44804563e+00  8.24530260e-09  3.68610736e+00 
 8.34530260e-09  5.00000000e+00  8.34530260e-09  2.43600334e+00  8.34530260e-09  3.68908225e+00 
 8.44530260e-09  5.00000000e+00  8.44530260e-09  2.42636230e+00  8.44530260e-09  3.68922687e+00 
 8.54530260e-09  5.00000000e+00  8.54530260e-09  2.41956109e+00  8.54530260e-09  3.68679624e+00 
 8.64530260e-09  5.00000000e+00  8.64530260e-09  2.41582016e+00  8.64530260e-09  3.68218053e+00 
 8.74530260e-09  5.00000000e+00  8.74530260e-09  2.41514952e+00  8.74530260e-09  3.67586753e+00 
 8.84530260e-09  5.00000000e+00  8.84530260e-09  2.41736414e+00  8.84530260e-09  3.66840770e+00 
 8.94530260e-09  5.00000000e+00  8.94530260e-09  2.42210583e+00  8.94530260e-09  3.66038113e+00 
 9.04530260e-09  5.00000000e+00  9.04530260e-09  2.42887252e+00  9.04530260e-09  3.65236556e+00 
 9.14530260e-09  5.00000000e+00  9.14530260e-09  2.43705554e+00  9.14530260e-09  3.64490470e+00 
 9.24530260e-09  5.00000000e+00  9.24530260e-09  2.44598150e+00  9.24530260e-09  3.63847683e+00 
 9.34530260e-09  5.00000000e+00  9.34530260e-09  2.45496014e+00  9.34530260e-09  3.63346541e+00 
 9.44530260e-09  5.00000000e+00  9.44530260e-09  2.46333890e+00  9.44530260e-09  3.63013442e+00 
 9.54530260e-09  5.00000000e+00  9.54530260e-09  2.47054980e+00  9.54530260e-09  3.62861114e+00 
 9.64530260e-09  5.00000000e+00  9.64530260e-09  2.47615048e+00  9.64530260e-09  3.62888032e+00 
 9.74530260e-09  5.00000000e+00  9.74530260e-09  2.47985222e+00  9.74530260e-09  3.63079103e+00 
 9.84530260e-09  5.00000000e+00  9.84530260e-09  2.48153306e+00  9.84530260e-09  3.63407605e+00 
 9.94530260e-09  5.00000000e+00  9.94530260e-09  2.48123488e+00  9.94530260e-09  3.63838170e+00 
 1.00000000e-08  5.00000000e+00  1.00000000e-08  2.48028663e+00  1.00000000e-08  3.64103798e+00 
