# in,ci
-0.9,1.15881E-14
-0.89,1.15721E-14
-0.88,1.15564E-14
-0.87,1.15409E-14
-0.86,1.15259E-14
-0.85,1.15112E-14
-0.84,1.14972E-14
-0.83,1.1484E-14
-0.82,1.14719E-14
-0.81,1.14618E-14
-0.8,1.14543E-14
-0.79,1.14507E-14
-0.78,1.14517E-14
-0.77,1.14576E-14
-0.76,1.14667E-14
-0.75,1.14763E-14
-0.74,1.14833E-14
-0.73,1.14861E-14
-0.72,1.14846E-14
-0.71,1.14796E-14
-0.7,1.14721E-14
-0.69,1.1463E-14
-0.68,1.1453E-14
-0.67,1.14424E-14
-0.66,1.14316E-14
-0.65,1.14207E-14
-0.64,1.14099E-14
-0.63,1.13992E-14
-0.62,1.13886E-14
-0.61,1.13783E-14
-0.6,1.13682E-14
-0.59,1.13584E-14
-0.58,1.13489E-14
-0.57,1.13397E-14
-0.56,1.13309E-14
-0.55,1.13226E-14
-0.54,1.13147E-14
-0.53,1.13073E-14
-0.52,1.13005E-14
-0.51,1.12943E-14
-0.5,1.12889E-14
-0.49,1.12842E-14
-0.48,1.12805E-14
-0.47,1.12778E-14
-0.46,1.12763E-14
-0.45,1.12762E-14
-0.44,1.12775E-14
-0.43,1.12805E-14
-0.42,1.12854E-14
-0.41,1.12925E-14
-0.4,1.1302E-14
-0.39,1.13143E-14
-0.38,1.13295E-14
-0.37,1.13481E-14
-0.36,1.13704E-14
-0.35,1.13967E-14
-0.34,1.14275E-14
-0.33,1.1463E-14
-0.32,1.15036E-14
-0.31,1.15496E-14
-0.3,1.16011E-14
-0.29,1.16585E-14
-0.28,1.17216E-14
-0.27,1.17905E-14
-0.26,1.1865E-14
-0.25,1.1945E-14
-0.24,1.20301E-14
-0.23,1.21198E-14
-0.22,1.22137E-14
-0.21,1.23111E-14
-0.2,1.24114E-14
-0.19,1.25139E-14
-0.18,1.26177E-14
-0.17,1.27221E-14
-0.16,1.28261E-14
-0.15,1.2929E-14
-0.14,1.303E-14
-0.13,1.31284E-14
-0.12,1.32234E-14
-0.11,1.33145E-14
-0.1,1.34012E-14
-0.09,1.34832E-14
-0.08,1.35602E-14
-0.07,1.3632E-14
-0.06,1.36986E-14
-0.05,1.37599E-14
-0.04,1.38159E-14
-0.03,1.38668E-14
-0.02,1.39127E-14
-0.01,1.39537E-14
6.41848E-16,1.39901E-14
0.01,1.40219E-14
0.02,1.40494E-14
0.03,1.40728E-14
0.04,1.40922E-14
0.05,1.41074E-14
0.06,1.41182E-14
0.07,1.41255E-14
0.08,1.41292E-14
0.09,1.41296E-14
0.1,1.41267E-14
0.11,1.41205E-14
0.12,1.4111E-14
0.13,1.40983E-14
0.14,1.40824E-14
0.15,1.40632E-14
0.16,1.40408E-14
0.17,1.40151E-14
0.18,1.39861E-14
0.19,1.39538E-14
0.2,1.39181E-14
0.21,1.3879E-14
0.22,1.38365E-14
0.23,1.37907E-14
0.24,1.37416E-14
0.25,1.36892E-14
0.26,1.36338E-14
0.27,1.35754E-14
0.28,1.35142E-14
0.29,1.34505E-14
0.3,1.33845E-14
0.31,1.33166E-14
0.32,1.32471E-14
0.33,1.31764E-14
0.34,1.3105E-14
0.35,1.30333E-14
0.36,1.29618E-14
0.37,1.28909E-14
0.38,1.28212E-14
0.39,1.2753E-14
0.4,1.26868E-14
0.41,1.26229E-14
0.42,1.25618E-14
0.43,1.25036E-14
0.44,1.24487E-14
0.45,1.23972E-14
0.46,1.23492E-14
0.47,1.23049E-14
0.48,1.22643E-14
0.49,1.22274E-14
0.5,1.21941E-14
0.51,1.21644E-14
0.52,1.21381E-14
0.53,1.21152E-14
0.54,1.20956E-14
0.55,1.20789E-14
0.56,1.20652E-14
0.57,1.20542E-14
0.58,1.20458E-14
0.59,1.20399E-14
0.6,1.20362E-14
0.61,1.20346E-14
0.62,1.2035E-14
0.63,1.20373E-14
0.64,1.20413E-14
0.65,1.20469E-14
0.66,1.20541E-14
0.67,1.20626E-14
0.68,1.20726E-14
0.69,1.20837E-14
0.7,1.20961E-14
0.71,1.21097E-14
0.72,1.21243E-14
0.73,1.21401E-14
0.74,1.21568E-14
0.75,1.21746E-14
0.76,1.21933E-14
0.77,1.2213E-14
0.78,1.22337E-14
0.79,1.22554E-14
0.8,1.22781E-14
0.81,1.23018E-14
0.82,1.23264E-14
0.83,1.23521E-14
0.84,1.23789E-14
0.85,1.24067E-14
0.86,1.24356E-14
0.87,1.24656E-14
0.88,1.24967E-14
0.89,1.2529E-14
