# Open-loop AC Monte Carlo simulation mismatch-only phase margin
# N B M BN BM NN NV MV
90.7233 90.725 90.7233 91.1488 90.7235 61.2552 61.6482 61.3889
90.7692 90.7709 90.7692 91.2151 90.7694 60.7278 61.1207 60.84
90.7456 90.7473 90.7456 91.1819 90.7458 59.5895 60.0005 59.7083
90.7675 90.7691 90.7675 91.2133 90.7677 60.7981 61.1935 60.914
90.7589 90.7606 90.7589 91.2016 90.7591 60.2668 60.6728 60.3865
90.7274 90.7292 90.7275 91.1522 90.7276 61.3146 61.6977 61.4414
90.7808 90.7825 90.7808 91.2332 90.781 1501.99 4022.36 62.2673
90.7536 90.7554 90.7537 91.1926 90.7539 60.1248 60.5274 60.2424
90.7232 90.7249 90.7232 91.1477 90.7234 59.828 60.2335 59.9534
90.7806 90.7823 90.7806 91.2341 90.7808 61.31 61.7026 61.4257
90.7438 90.7456 90.7439 91.1782 90.7441 60.6605 61.0559 60.7812
90.7737 90.7753 90.7737 91.2226 90.7739 60.4794 60.879 5460.58
90.7956 90.7974 90.7957 91.2545 90.7958 60.4029 60.8041 60.5094
90.8026 90.8043 90.8026 91.2666 90.8027 61.0417 61.441 61.1512
90.7656 90.7673 90.7656 91.2116 90.7658 60.0856 60.4929 60.201
90.7219 90.7235 90.7219 91.1473 90.7221 61.1651 61.5607 61.2991
90.7594 90.7611 90.7594 91.2 90.7596 61.2077 61.5936 61.3238
90.7693 90.771 90.7693 91.2166 90.7695 60.9562 61.3512 61.0721
90.7519 90.7536 90.7519 91.1908 90.7521 61.0883 61.4828 61.2118
90.7412 90.7429 90.7412 91.1728 90.7414 60.8604 61.2497 60.9808
