# Open-loop AC Monte Carlo simulation mismatch-only regulated supply voltage
# N B M BN BM NN NV MV
2.39851 2.37419 2.34924 2.36725 2.41419 2.37284 2.40035 2.36189
2.39922 2.44406 2.41747 2.41169 2.41651 2.35983 2.38422 2.37525
2.35743 2.36577 2.40098 2.38366 2.36275 2.3285 2.43328 2.37614
2.41669 2.41091 2.42953 2.48533 2.43064 2.39325 2.47889 2.49126
2.46161 2.44261 2.42782 2.38187 2.40613 2.41812 2.47628 2.42781
2.50662 2.48317 2.46186 2.46909 2.45998 2.48927 2.4329 2.51459
2.46896 2.45686 2.43519 2.43569 2.42321 2.46017 2.46736 2.43587
2.40652 2.40115 2.37185 2.33722 2.40931 2.37937 2.36216 2.42096
2.43713 2.36035 2.43507 2.34852 2.36829 2.33381 2.41351 2.35138
2.3618 2.34902 2.42984 2.35867 2.30246 2.32623 2.33836 2.31301
2.26841 2.36621 2.29857 2.29139 2.32813 2.31055 2.32501 2.38933
2.31874 2.34974 2.3412 2.40374 2.3556 2.35407 2.35295 2.37938
2.47554 2.45287 2.44489 2.3853 2.47111 2.36877 2.48288 2.411
2.44343 2.46695 2.44561 2.41387 2.4014 2.47063 2.36653 2.44443
2.3467 2.35815 2.364 2.35592 2.34341 2.39772 2.3497 2.3592
2.34182 2.34902 2.30182 2.34899 2.37446 2.3963 2.33672 2.33948
2.51798 2.54876 2.48943 2.60005 2.56652 2.53947 2.57904 2.50804
2.47145 2.42268 2.4242 2.3949 2.43491 2.41191 2.43335 2.44699
2.48827 2.50816 2.48671 2.4421 2.51 2.50262 2.46124 2.49335
2.2828 2.29023 2.31297 2.31815 2.36222 2.3391 2.32772 2.34083
2.14885 2.15767 2.16322 2.17674 2.18587 2.22526 2.22399 2.21057
2.41582 2.40607 2.39634 2.42863 2.50764 2.3775 2.39737 2.4214
