# Open-loop AC Monte Carlo simulation mismatch-only phase margin
# N B M BN BM NN NV MV
90.8572 90.8078 90.7817 91.3252 90.7347 60.9245 61.4462 61.1577
90.6016 90.7508 90.7572 91.2907 90.7896 61.1428 61.2519 60.9911
90.7287 90.7121 90.7468 91.1489 90.7282 60.8938 61.2023 60.9337
90.8974 90.7749 90.765 91.0531 90.7411 61.2519 61.4017 61.2376
90.8168 90.7495 90.7269 91.0532 90.7532 61.0559 61.3392 61.0683
90.7399 90.763 90.7414 91.3714 90.73 61.0077 61.3222 61.0789
90.716 90.7562 90.7606 91.4117 90.7719 61.0033 61.2978 60.9001
90.6419 90.7982 90.7622 91.2136 90.7493 61.004 61.2931 60.9882
90.9389 90.7929 90.7379 91.0055 90.7433 60.7532 61.4283 61.0622
90.8496 90.8608 90.7429 91.1874 90.7863 60.8778 61.1461 61.0802
90.7453 90.7041 90.7654 91.3132 90.7532 60.9539 61.2877 61.1361
90.7207 90.7387 90.746 91.2348 90.77 61.0313 61.5185 60.9501
90.8264 90.7898 90.7661 91.4825 90.7412 61.0112 61.3319 61.0965
90.7372 90.7639 90.7625 91.2221 90.7654 61.0101 61.1639 61.0885
90.7176 90.7458 90.763 91.0574 90.7446 60.98 61.3801 60.9956
90.5937 90.8049 90.7495 91.0984 90.7623 60.8234 61.4533 60.956
90.7872 90.8756 90.7685 91.242 90.7322 60.7692 61.3003 61.1546
90.7986 90.7555 90.753 91.2741 90.7716 60.8552 61.4662 61.1134
90.7002 90.779 90.7305 91.2008 90.739 60.6644 61.6912 61.0621
90.7475 90.7471 90.7633 91.333 90.7667 60.9404 61.1539 61.1092
